origin_time,horizon,threshold,window_type,mainshock_mag,mainshock_time,days_since_mainshock,n_train_events,forecast_probability_etas,forecast_probability_poisson,observed_binary,n_observed_in_horizon
1975-04-02T19:24:23.100000+00:00,7d,5.0,post_mainshock,5.28,1975-03-03T19:24:23.100000+00:00,30,32,nan,0.0,0,0
1975-05-22T03:16:20.600000+00:00,7d,5.0,post_mainshock,5.535,1975-05-21T03:16:20.600000+00:00,1,33,nan,0.0,0,0
1975-05-28T03:16:20.600000+00:00,7d,5.0,post_mainshock,5.535,1975-05-21T03:16:20.600000+00:00,7,33,nan,0.0,0,0
1975-06-20T03:16:20.600000+00:00,7d,5.0,post_mainshock,5.535,1975-05-21T03:16:20.600000+00:00,30,33,nan,0.0,0,0
1975-06-29T21:32:02.200000+00:00,7d,5.0,post_mainshock,5.365,1975-06-28T21:32:02.200000+00:00,1,34,nan,0.0,0,0
1975-07-05T21:32:02.200000+00:00,7d,5.0,post_mainshock,5.365,1975-06-28T21:32:02.200000+00:00,7,34,nan,0.0,1,2
1975-07-28T21:32:02.200000+00:00,7d,5.0,post_mainshock,5.365,1975-06-28T21:32:02.200000+00:00,30,37,nan,0.0,0,0
1975-07-09T12:04:42.400000+00:00,7d,5.0,post_mainshock,6.5,1975-07-08T12:04:42.400000+00:00,1,37,nan,0.0,0,0
1975-07-15T12:04:42.400000+00:00,7d,5.0,post_mainshock,6.5,1975-07-08T12:04:42.400000+00:00,7,37,nan,0.0,0,0
1975-08-07T12:04:42.400000+00:00,7d,5.0,post_mainshock,6.5,1975-07-08T12:04:42.400000+00:00,30,37,nan,0.0,0,0
1975-07-10T11:30:39.900000+00:00,7d,5.0,post_mainshock,5.11,1975-07-09T11:30:39.900000+00:00,1,37,nan,0.0,0,0
1975-07-16T11:30:39.900000+00:00,7d,5.0,post_mainshock,5.11,1975-07-09T11:30:39.900000+00:00,7,37,nan,0.0,0,0
1975-08-08T11:30:39.900000+00:00,7d,5.0,post_mainshock,5.11,1975-07-09T11:30:39.900000+00:00,30,37,nan,0.0,0,0
1975-09-18T03:00:20.100000+00:00,7d,5.0,post_mainshock,5.195,1975-09-17T03:00:20.100000+00:00,1,38,nan,0.0,0,0
1975-09-24T03:00:20.100000+00:00,7d,5.0,post_mainshock,5.195,1975-09-17T03:00:20.100000+00:00,7,38,nan,0.0,0,0
1975-10-17T03:00:20.100000+00:00,7d,5.0,post_mainshock,5.195,1975-09-17T03:00:20.100000+00:00,30,38,nan,0.0,1,1
1975-10-22T07:10:50.400000+00:00,7d,5.0,post_mainshock,5.11,1975-10-21T07:10:50.400000+00:00,1,39,nan,0.0,0,0
1975-10-28T07:10:50.400000+00:00,7d,5.0,post_mainshock,5.11,1975-10-21T07:10:50.400000+00:00,7,39,nan,0.0,0,0
1975-11-20T07:10:50.400000+00:00,7d,5.0,post_mainshock,5.11,1975-10-21T07:10:50.400000+00:00,30,40,nan,0.0,0,0
1975-12-14T22:35:44.200000+00:00,7d,5.0,post_mainshock,5.45,1975-12-13T22:35:44.200000+00:00,1,41,nan,0.0,0,0
1975-12-20T22:35:44.200000+00:00,7d,5.0,post_mainshock,5.45,1975-12-13T22:35:44.200000+00:00,7,41,nan,0.0,0,0
1976-01-12T22:35:44.200000+00:00,7d,5.0,post_mainshock,5.45,1975-12-13T22:35:44.200000+00:00,30,41,nan,0.0,0,0
1976-04-06T21:23:30.800000+00:00,7d,5.0,post_mainshock,5.755,1976-04-05T21:23:30.800000+00:00,1,43,nan,0.0,0,0
1976-04-12T21:23:30.800000+00:00,7d,5.0,post_mainshock,5.755,1976-04-05T21:23:30.800000+00:00,7,43,nan,0.0,0,0
1976-05-05T21:23:30.800000+00:00,7d,5.0,post_mainshock,5.755,1976-04-05T21:23:30.800000+00:00,30,43,nan,0.0,0,0
1976-05-26T04:48:41.900000+00:00,7d,5.0,post_mainshock,5.025,1976-05-25T04:48:41.900000+00:00,1,44,nan,0.0,0,0
1976-06-01T04:48:41.900000+00:00,7d,5.0,post_mainshock,5.025,1976-05-25T04:48:41.900000+00:00,7,44,nan,0.0,0,0
1976-06-24T04:48:41.900000+00:00,7d,5.0,post_mainshock,5.025,1976-05-25T04:48:41.900000+00:00,30,45,nan,0.0,0,0
1976-06-24T15:38:39.400000+00:00,7d,5.0,post_mainshock,5.535,1976-06-23T15:38:39.400000+00:00,1,45,nan,0.0,0,0
1976-06-30T15:38:39.400000+00:00,7d,5.0,post_mainshock,5.535,1976-06-23T15:38:39.400000+00:00,7,45,nan,0.0,0,0
1976-07-23T15:38:39.400000+00:00,7d,5.0,post_mainshock,5.535,1976-06-23T15:38:39.400000+00:00,30,45,nan,0.0,0,0
1976-12-07T16:13:12.300000+00:00,7d,5.0,post_mainshock,5.025,1976-12-06T16:13:12.300000+00:00,1,47,nan,0.0,0,0
1976-12-13T16:13:12.300000+00:00,7d,5.0,post_mainshock,5.025,1976-12-06T16:13:12.300000+00:00,7,47,nan,0.0,1,2
1977-01-05T16:13:12.300000+00:00,7d,5.0,post_mainshock,5.025,1976-12-06T16:13:12.300000+00:00,30,51,nan,0.0,0,0
1976-12-16T04:35:11.400000+00:00,7d,5.0,post_mainshock,5.28,1976-12-15T04:35:11.400000+00:00,1,48,nan,0.0,1,1
1976-12-22T04:35:11.400000+00:00,7d,5.0,post_mainshock,5.28,1976-12-15T04:35:11.400000+00:00,7,49,nan,0.0,1,1
1977-01-14T04:35:11.400000+00:00,7d,5.0,post_mainshock,5.28,1976-12-15T04:35:11.400000+00:00,30,51,nan,0.0,0,0
1976-12-18T10:21:47.600000+00:00,7d,5.0,post_mainshock,5.025,1976-12-17T10:21:47.600000+00:00,1,49,nan,0.0,1,1
1976-12-24T10:21:47.600000+00:00,7d,5.0,post_mainshock,5.025,1976-12-17T10:21:47.600000+00:00,7,49,nan,0.0,1,1
1977-01-16T10:21:47.600000+00:00,7d,5.0,post_mainshock,5.025,1976-12-17T10:21:47.600000+00:00,30,51,nan,0.0,0,0
1976-12-26T01:07:10.900000+00:00,7d,5.0,post_mainshock,5.195,1976-12-25T01:07:10.900000+00:00,1,50,nan,0.0,0,0
1977-01-01T01:07:10.900000+00:00,7d,5.0,post_mainshock,5.195,1976-12-25T01:07:10.900000+00:00,7,50,nan,0.0,1,1
