bin,config,mean_pred,model,n,obs_freq,origin
0.00-0.14,M4.5_30d,0.0331,v2,61,0.0656,2023
0.14-0.29,M4.5_30d,0.2521,v2,2,0.0,2023
0.29-0.43,M4.5_30d,0.2877,v2,1,0.0,2023
0.43-0.57,M4.5_30d,,v2,0,,2023
0.57-0.71,M4.5_30d,,v2,0,,2023
0.71-0.86,M4.5_30d,,v2,0,,2023
0.86-1.00,M4.5_30d,,v2,0,,2023
0.00-0.14,M4.5_30d,0.0329,v1,61,0.0656,2023
0.14-0.29,M4.5_30d,0.2551,v1,2,0.0,2023
0.29-0.43,M4.5_30d,0.2911,v1,1,0.0,2023
0.43-0.57,M4.5_30d,,v1,0,,2023
0.57-0.71,M4.5_30d,,v1,0,,2023
0.71-0.86,M4.5_30d,,v1,0,,2023
0.86-1.00,M4.5_30d,,v1,0,,2023
0.00-0.14,M5.0_7d,0.0032,v2,64,0.0,2015
0.14-0.29,M5.0_7d,,v2,0,,2015
0.29-0.43,M5.0_7d,,v2,0,,2015
0.43-0.57,M5.0_7d,,v2,0,,2015
0.57-0.71,M5.0_7d,,v2,0,,2015
0.71-0.86,M5.0_7d,,v2,0,,2015
0.86-1.00,M5.0_7d,,v2,0,,2015
0.00-0.14,M5.0_7d,0.0032,v1,64,0.0,2015
0.14-0.29,M5.0_7d,,v1,0,,2015
0.29-0.43,M5.0_7d,,v1,0,,2015
0.43-0.57,M5.0_7d,,v1,0,,2015
0.57-0.71,M5.0_7d,,v1,0,,2015
0.71-0.86,M5.0_7d,,v1,0,,2015
0.86-1.00,M5.0_7d,,v1,0,,2015
0.00-0.14,M5.0_7d,0.0032,v2,64,0.0156,2016
0.14-0.29,M5.0_7d,,v2,0,,2016
0.29-0.43,M5.0_7d,,v2,0,,2016
0.43-0.57,M5.0_7d,,v2,0,,2016
0.57-0.71,M5.0_7d,,v2,0,,2016
0.71-0.86,M5.0_7d,,v2,0,,2016
0.86-1.00,M5.0_7d,,v2,0,,2016
0.00-0.14,M5.0_7d,0.0031,v1,64,0.0156,2016
0.14-0.29,M5.0_7d,,v1,0,,2016
0.29-0.43,M5.0_7d,,v1,0,,2016
0.43-0.57,M5.0_7d,,v1,0,,2016
0.57-0.71,M5.0_7d,,v1,0,,2016
0.71-0.86,M5.0_7d,,v1,0,,2016
0.86-1.00,M5.0_7d,,v1,0,,2016
0.00-0.14,M5.0_7d,0.0032,v2,64,0.0156,2017
0.14-0.29,M5.0_7d,,v2,0,,2017
0.29-0.43,M5.0_7d,,v2,0,,2017
0.43-0.57,M5.0_7d,,v2,0,,2017
0.57-0.71,M5.0_7d,,v2,0,,2017
0.71-0.86,M5.0_7d,,v2,0,,2017
0.86-1.00,M5.0_7d,,v2,0,,2017
0.00-0.14,M5.0_7d,0.0032,v1,64,0.0156,2017
0.14-0.29,M5.0_7d,,v1,0,,2017
0.29-0.43,M5.0_7d,,v1,0,,2017
0.43-0.57,M5.0_7d,,v1,0,,2017
0.57-0.71,M5.0_7d,,v1,0,,2017
0.71-0.86,M5.0_7d,,v1,0,,2017
0.86-1.00,M5.0_7d,,v1,0,,2017
0.00-0.14,M5.0_7d,0.0032,v2,64,0.0156,2018
0.14-0.29,M5.0_7d,,v2,0,,2018
0.29-0.43,M5.0_7d,,v2,0,,2018
0.43-0.57,M5.0_7d,,v2,0,,2018
0.57-0.71,M5.0_7d,,v2,0,,2018
0.71-0.86,M5.0_7d,,v2,0,,2018
0.86-1.00,M5.0_7d,,v2,0,,2018
0.00-0.14,M5.0_7d,0.0032,v1,64,0.0156,2018
0.14-0.29,M5.0_7d,,v1,0,,2018
0.29-0.43,M5.0_7d,,v1,0,,2018
0.43-0.57,M5.0_7d,,v1,0,,2018
0.57-0.71,M5.0_7d,,v1,0,,2018
0.71-0.86,M5.0_7d,,v1,0,,2018
0.86-1.00,M5.0_7d,,v1,0,,2018
0.00-0.14,M5.0_7d,0.0032,v2,64,0.0,2019
0.14-0.29,M5.0_7d,,v2,0,,2019
0.29-0.43,M5.0_7d,,v2,0,,2019
0.43-0.57,M5.0_7d,,v2,0,,2019
0.57-0.71,M5.0_7d,,v2,0,,2019
0.71-0.86,M5.0_7d,,v2,0,,2019
0.86-1.00,M5.0_7d,,v2,0,,2019
0.00-0.14,M5.0_7d,0.0032,v1,64,0.0,2019
0.14-0.29,M5.0_7d,,v1,0,,2019
0.29-0.43,M5.0_7d,,v1,0,,2019
0.43-0.57,M5.0_7d,,v1,0,,2019
0.57-0.71,M5.0_7d,,v1,0,,2019
0.71-0.86,M5.0_7d,,v1,0,,2019
0.86-1.00,M5.0_7d,,v1,0,,2019
0.00-0.14,M5.0_7d,0.0032,v2,64,0.0,2020
0.14-0.29,M5.0_7d,,v2,0,,2020
0.29-0.43,M5.0_7d,,v2,0,,2020
0.43-0.57,M5.0_7d,,v2,0,,2020
0.57-0.71,M5.0_7d,,v2,0,,2020
0.71-0.86,M5.0_7d,,v2,0,,2020
0.86-1.00,M5.0_7d,,v2,0,,2020
0.00-0.14,M5.0_7d,0.0032,v1,64,0.0,2020
0.14-0.29,M5.0_7d,,v1,0,,2020
0.29-0.43,M5.0_7d,,v1,0,,2020
0.43-0.57,M5.0_7d,,v1,0,,2020
