cell_id,expected_count,forecast_start_days,horizon_days,lat_center,lon_center,probability_at_least_one,rate_per_year,threshold
cell_06_06,4.853748,18941.366,0.0821,26.5,94.5,0.992201,21584.222413,5.0
cell_06_07,5.55821,18941.366,0.0821,26.5,95.5,0.996144,24716.908097,5.0
cell_07_00,3.515778,18941.366,0.0821,27.5,88.5,0.970275,15634.380103,5.0
cell_07_01,3.266237,18941.366,0.0821,27.5,89.5,0.96185,14524.689198,5.0
cell_07_02,3.603399,18941.366,0.0821,27.5,90.5,0.972769,16024.023624,5.0
cell_07_03,4.832411,18941.366,0.0821,27.5,91.5,0.992033,21489.337308,5.0
cell_07_04,5.634821,18941.366,0.0821,27.5,92.5,0.996429,25057.589988,5.0
cell_07_05,4.705717,18941.366,0.0821,27.5,93.5,0.990957,20925.943241,5.0
cell_07_06,3.712802,18941.366,0.0821,27.5,94.5,0.975591,16510.527554,5.0
cell_07_07,2.980635,18941.366,0.0821,27.5,95.5,0.949239,13254.643245,5.0
